R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
212,238B412,,I BELIEVE : A LITTLE CATHOLIC CATECHISM,2013,THEOLOGY,
172,260H754,"Elmer G, Homrighausen",I BELIEVE IN THE CHURCH,1959,THEOLOGY,
26,T74,Walter Trobisch,I LOVED A GIRL,1962-1964,FICTION,
87,226.5W66,,I WILL TURN to the FATHER : the gospel according to Luke; the first letter from Peter ; The book of Amos ; ASelection of Psalms,1999,BIBLICAL STUDIES,
167,226.5N168,,I. THE NARRRATIVE OF BOOK FOUR: THE ITINERANT JESUS PREPARES FOR THE CHURCH BY HIS DEEDS ( photocopy),n.d.,BIBLICAL STUDIES,
533,248.29N171c.1,"Robert Nash, S.J",IDEAL TO LIVE BY : A guide to the spiritual exercises of St. Ignatius loyola,1959,SPIRITUALITY,
534,248.29N171c.2,"Robert Nash, S.J",IDEAL TO LIVE BY : A guide to the spiritual exercises of St. Ignatius loyola,1959,SPIRITUALITY,
535,248.29N171c.3,"Robert Nash, S.J",IDEAL TO LIVE BY : A guide to the spiritual exercises of St. Ignatius loyola,1959,SPIRITUALITY,
476,242Z238,Dom Hubert Van Zeller,IDEAS FOR PRAYER :  200 suggestions,1966,SPIRITUALITY,
118,271.5302R747,MARK ROTSAERT,IGNACE DE LOYOLA,1982,SPECIAL COLLECTION,
66,248.4M331,CARLES MARCET,"IGNACIO DE LOYOLA ACOMPAÑADO, ACOMPAÑANTE, EN COMPAÑIA",2018,SPECIAL COLLECTION,
307,248.2Su531,"Francis A. Sullivan, S.J.",IGNATIAN EXERCISES CHARISMATIC RENEWAL: Similarities? Differences? Constrast? Convergences? (Marked copy and notes),1977,SPIRITUALITY,
962,248.29M471,"Daniel F. X. Meenan, S.J.",IGNATIAN INSIGHT : VISION OR CHIMERA,1974,SPIRITUALITY,
881,248.4C632c.1,"Rev. H. Coathalem, S.J.",IGNATIAN INSIGHTS : A guide to complete spiritual exercises,1971,SPIRITUALITY,
882,248.4C632c.2,"Rev. H. Coathalem, S.J.",IGNATIAN INSIGHTS : A guide to complete spiritual exercises,1971,SPIRITUALITY,
883,248.4C632c.3,"Rev. H. Coathalem, S.J.",IGNATIAN INSIGHTS : A guide to complete spiritual exercises,1971,SPIRITUALITY,
884,248.4C632c.4,"Rev. H. Coathalem, S.J.",IGNATIAN INSIGHTS : A guide to complete spiritual exercises,1971,SPIRITUALITY,
402,248.2B796c.1,"Alexandre Brou, S.J.",IGNATIAN METHODS OF PRAYER,1949,SPIRITUALITY,
403,248.2B796c.2,"Alexandre Brou, S.J.",IGNATIAN METHODS OF PRAYER,1949,SPIRITUALITY,
164,248.05W364i,,IGNATIAN SPIRITUALITY AND CONTEMPLATIVE PRAYER,2002,PERIODICAL,
386,248.29R627,Judith Roemer,IGNATIAN SPIRITUALITY AND THE DIRECTED RETREAT : A study manual to be used with the video series,1991,SPIRITUALITY,
121,248.4Ig5,,IGNATIAN SPIRITUALITY IN JESUIT APOSTOLATE,1992,SPIRITUALITY,
359,248.324Ig5,,"IGNATIAN SPIRITUALITY SINCE CG 32 : Articles , Report, Bibliographies",1975,SPIRITUALITY,
963,248.29Ig5,"Spidlik,Rulla, Carroll, Arrupe",IGNATIAN SPIRITUALITY: FOUR ESSAYS,1979,SPIRITUALITY,
125,248.2Iq5,,IGNATIANA,1955,SPIRITUALITY,
,,"David G. Creamer,  S.J",IGNATIUS LOYOLA : From knight - at- arms to knight of God,,BOOKLET,
38,248.3T291, Joseph A. Tetlow,Ignatius Loyola : spiritual exercises,1992,SPIRITUALITY,
79,248.22092Eg13,"Harvey D. Egan, S.J.",IGNATIUS LOYOLA THE MYSTIC,1987,SPIRITUALITY,
786,271.5302Id25,Jose Ignacio Tellechea Idigoras,IGNATIUS OF LOYOLA THE PILGRIM SAINT,1994,SPIRITUALITY,
787,271.5302M479,"W. W. Meissner, S.J., M.D.",IGNATIUS OF LOYOLA THE PSYCHOLOGY OF A SAINT,1992,SPIRITUALITY,
117,282.092R129m,Hugo Ranher,IGNATIUS: THE MAN AND THE PRIEST,1977,SPIRITUALITY,
92,248.05 Ig71994c.1," Jose Maria Fuentes , S.J,editor","IGTING :  Lay people in mission in the spirit of St. Ignatius Loyola, no.7 (c.1)",1994,PERIODICAL,
93,248.05 Ig71994c.2," Jose Maria Fuentes , S.J,editor","IGTING :  Lay people in mission in the spirit of St. Ignatius Loyola, no.7 (c.2)",1994,PERIODICAL,
,248.05 Ig71994c.3 - 5," Jose Maria Fuentes , S.J,editor","IGTING :  Lay people in mission in the spirit of St. Ignatius Loyola, no.7 (number of copies 5)",1994,PERIODICAL LIB2 (Duplicate copies),
97,248.05 Ig71994c.1," Jose Maria Fuentes , S.J,editor","IGTING : ""GIVING THE EXERCISES"", no.6 (c.1)",1994,PERIODICAL,
98,248.05 Ig71994c.2," Jose Maria Fuentes , S.J,editor","IGTING : ""GIVING THE EXERCISES"", no.6 (c.2)",2006,PERIODICAL,
,248.05 Ig71994c.3," Jose Maria Fuentes , S.J,editor","IGTING : ""GIVING THE EXERCISES"", no.6(number of copies 3)",2006,PERIODICAL LIB2 (Duplicate copies),
86,248.05 Ig7 1993c.1," Jose Maria Fuentes , S.J,editor","IGTING : ""The society of jesus""  A body for mission, no.5",1993,PERIODICAL,
,248.05 Ig7 1993c.2-3," Jose Maria Fuentes , S.J,editor","IGTING : ""The society of jesus""  A body for mission, no.5(number of copies 3)",1993,PERIODICAL LIB2 (Duplicate copies),
94,248.05 Ig71995c.1," Jose Maria Fuentes , S.J,editor","IGTING : On going formation of lay partners in mission , no.8",1995,PERIODICAL,
,248.05 Ig71995c.2," Jose Maria Fuentes , S.J,editor","IGTING : On going formation of lay partners in mission , no.8(number of copies 2)",2005,PERIODICAL LIB2 (Duplicate copies),
95,248.05 Ig71991c.1," Jose Maria Fuentes , S.J,editor",IGTING :Ignatian Spirituality in Jesuit Apostolate no.1 (c.1),1991,PERIODICAL,
96,248.05 Ig71991c.2," Jose Maria Fuentes , S.J,editor",IGTING :Ignatian Spirituality in Jesuit Apostolate no.1 (c.2),1991,PERIODICAL,
,248.05 Ig71991c.3-5," Jose Maria Fuentes , S.J,editor",IGTING :Ignatian Spirituality in Jesuit Apostolate no.1 (number of copies 5),1991,PERIODICAL LIB2 (Duplicate copies),
33,248.05Ig7,,IGTING 1-4 :  Ignatian Spirituality in Jesuit Apostolate,1991,PERIODICAL,
34,248.05Ig7,,IGTING 1-8 :  Ignatian Spirituality in Jesuit Apostolate,1991,PERIODICAL,
89,248.05 Ig71991," Jose Maria Fuentes , S.J,editor","IGTING: ""Ignatian Spirituality in the Jesuits’ Apostolate"" part 2, no.3",1991,PERIODICAL,
90,248.05 Ig71993c.1," Jose Maria Fuentes , S.J,editor","IGTING: ""The spiritual exercises and todays world "" part 3, no.4 (c.1)",1993,PERIODICAL,
,248.05 Ig71993c.2 - 3," Jose Maria Fuentes , S.J,editor","IGTING: ""The spiritual exercises and todays world "" part 3, no.4 (number of copies 3 )",1993,PERIODICAL LIB2 (Duplicate copies),
91,248.05 Ig71994," Jose Maria Fuentes , S.J,editor","IGTING: ""The spiritual exercises and todays world "" part 3, no.5 (c.2)",1994,PERIODICAL,
87,248.05 Ig71992c.1," Jose Maria Fuentes , S.J,editor","IGTING: ""The spiritual exercises and todays world "" part I, no.2",1992,PERIODICAL,
,248.05 Ig71992c.2-5," Jose Maria Fuentes , S.J,editor","IGTING: ""The spiritual exercises and todays world "" part I, no.2 (number of copies 5)",1992,PERIODICAL LIB2 (Duplicate copies),
88,248.05 Ig71992c.1," Jose Maria Fuentes , S.J,editor","IGTING: The Spiritual Exercises and Today’s World, part 2,  no.3",1992,PERIODICAL,
,248.05 Ig71992c.2-6," Jose Maria Fuentes , S.J,editor","IGTING: The Spiritual Exercises and Today’s World, part 2,  no.3(number of copies 6)",1992,PERIODICAL LIB2 (Duplicate copies),
158,232.9P919,,II. THE PREPARATION FOR THE PUBLIC MINISTRY OF JESUS ( photcopy),n.d.,BIBLICAL STUDIES,
72,225C771,,Ikaduhang Basahon Daang Testamento ANG BIBLIYA NGA INARAWAN,2004,Filipiniana,
25,248.4G941,"ARMANDO GUIDETTI, S.J.",IL DISCERNIMENTO DEGLI SPIRITI IN S. BERNARDINO DA SIENA E IN S. IGNAZIO DI LOYOLA,1982,SPECIAL COLLECTION,
101, 726.509456OIl1,,IL GESÙ DI ROMA CHURCH OF JESUS - ROME L'EGLISE DE JESUS - ROME KIRCHE VON JESUS - ROM IGLESIA DEL JESUS - ROMA,1969,SPECIAL COLLECTION,
500,291.43W676,Marianne Williamson,"ILLUMINATA : Thought , Prayer, Rites of Passage",1994,SPIRITUALITY,
161,252L648,"Mark Link, S.J.",ILLUSTRATED DAILY HOMILIES,1987,THEOLOGY,
74,252L648,,ILLUSTRATED DAILY HOMILIES : YEAR 1 GOSPEL,1987,General Reference,
49,363.6909599,Melva Rodriguez Java,ILLUSTRATED MANUAL FOR THE REPAIR AND MAINTENANCE OF SPANISH PERIOD STRUCTURES IN THE PHILIPPINES,2018,FILIPIANA (LIBRARY 2),
42,616.891H240,"Thomas A. Harris, M.D.",I'M OK- YOU'RE OK,1955,REFERENCE (Library 2),
6,248.4D340,"ANTONIA MA. DE ALDAMA, S.J.",IMAGEN IGNACIANA DEL JESUITA EN LOS ESCRITOS DE POLANCO EXTRACTOS,1975,SPECIAL COLLECTION,
159,248.3405 C333i,,IMAGES AND IMAGINATION IN THE IGNATIAN EXERCISES,1987,PERIODICAL,
235,222.1068G135,Judette A. Gallares,Images of Faith : spirituality of women in the old testament from a Third world perspective,1992,Filipiniana,
501,248.482Sh436,"Philip Sheldrake, S.J.",IMAGES OF HOLINESS: Exploration in contemporary spirituality,1988,SPIRITUALITY,
105,248.2H164,"Marlene Halpin, Dominican",Imagine That! Using Fantasy in Spiritual Direction,1989,Filipiniana,
267,268.4H676,"Johannes Hofinger, S.J.",Imparting the Christian Message,1961,THEOLOGY,
127,271.53C769,"Joseph F. Conwell, S.J.",IMPELLING SPIRIT- REVISITING A FOUNDING EXPERIENCE: 1539 IGNATIUS OF LOYOLA AND HIS COMPANIONS,1997,SPIRITUALITY,
867,248.8M366,C. C. Martindale. S. J.,IN GOD'S ARMY,1949,SPIRITUALITY,
3,248.8M366 c.1,C. C. Martindale. S. J.,IN GOD'S ARMY : Christ's Cadets,1917,SPIRITUALITY,
337,267.182P949,RICHARD J. PRTTEY,IN HIS FOOTSTEPS :The Priest and the Catholic Charismatic Renewal,1997,Filipiniana,
61,262B817,Dr. Paul Brand & Philip Yancey,IN HIS IMAGE,1984,Filipiniana,
61,282.092In11,,"IN ILLOTEMPORE : Memoirs of Rt. Rev. Msgr. Constantino R. Batoctoy, H.P",2011,FILIPIANA (LIBRARY 2),
,,"DavidRsselin, S.J","IN LOVING REMEMBRANCE OF FARHER PEDRO ARRUPE , S.J",,BOOKLET,
,,"DavidN rsselin, S.J","In loving remembrance of father Pedro Arrupe, S.J (3 copies)",,,
153,899.211Ab13,Gemino H. Abad,In Ordinary Time,2004,Filipiniana,
657,242C382,"François Charmot, S.J.",IN RETREAT WITH THE SACRED HEART,1975,SPIRITUALITY,
21,248.8K11,"Adrian Van Kaam, C.S.Sp.",IN SEARCH OF SPIRITUAL IDENTITY,1975,SPIRITUALITY,
599,248.2C233,Carlo Carretto,IN SEARCH OF THE BEYOND,,SPIRITUALITY,
247,248.4r631,Barbara J. Rogers,IN THE CENTER : The Story of a retreat ,1983,SPIRITUALITY,
404,248.4In11,,IN THE FOOTSTEPS OF FRANCIS XAVIER,,SPIRITUALITY,
92,297.09R290,John Renard,IN THE FOOTSTEPS OF MUHAMMAD: UNDERSTANDING THE ISLAMIC EXPERIENCE,1992,FILIPIANA (LIBRARY 2),
61,232 L518,Edward Leen. C.S.S.P.,IN THE LIKENESS OF CHRIST,1936,THEOLOGY,
553,234.52N856,Henri J.M Nouwen,IN THE NAME OF JESUS : REFLECTION ON CHRISTIAN LEADERSHIP,1995,Filipiniana,
292,241.67In11,FRANCISCO F. CLAVER Et al.,"IN THE PHILIPPINES TODAY: CHRISTIAN FAITH, IDEOLOGIES… MARXISM",1982,Filipiniana,
360,266.2R15,KEVIN M. RANAGHAN,IN THE POWER OF THE SPIRIT: EFFECTIVE CATHOLIC EVANGELIZATION,1993,Filipiniana,
71,959.91C228,Atty. Jose Maria Z. Carpio,INA AND THE BIKOL PEOPLE : A JOURNEY OF FAITH,2002,General Reference,
119,266.2St241,"Nicolas Standaert, S.J.",Inculturation : the gospel and cultures,1994,Filipiniana,
233,261.2 In217,"Jaime C. Bulatao, S.J. et al","Inculturation, Faith and Christian Life",1978,Filipiniana,
27,248.4Se599,,INCULTURAZIONE,1979,SPECIAL COLLECTION,
115, 271.53In222c.1,,INDEX DE L'EXAMEN GÉNÉRAL ET DES CONSTITUTIONS,1973,SPECIAL COLLECTION,
116, 271.53In222c.2, ,INDEX DE L'EXAMEN GÉNÉRAL ET DES CONSTITUTIONS,1973,SPECIAL COLLECTION,
58,271.53Al21,ANTONI M. DE ALDAMA,INICIACIÓN AL ESTUDIO DE LAS CONSTITUCIONES,1981,SPECIAL COLLECTION,
125, 271.53Al21,ANTONI M. DE ALDAMA,INICIACIÓN AL ESTUDIO DE LAS CONSTITUCIONES,1981,SPECIAL COLLECTION,
842,271.53024In51,Joseph A. Munitiz S.J.,INIGO : DISCERMENT LOG-BOOK : The spiritual diary of saint ignatius loyola,1987,SPIRITUALITY,
,,Iilis Bergin PBVM,INIGO : Introduction main lyrics applications & initiatives (2 copies),,BOOKLET,
212,271.5302L569,"Pedro Leturia, S.J.",INIGO DE LOYOLA,1949,SPIRITUALITY,
322,248.4In51,,"INIGO: INTRODUCTION, MAIN LYRICS, APPLICATIONS & INITIATIVES",,SPIRITUALITY,
18,Oc13,Sean O'Casey,INISHFALLEN FARE THEE WELL,1949,FICTION,
583,248.2Sca634,Michael Scanlan,Inner Healing : ministering to the human spirit through the power of prayer,1974,Filipiniana,
146,016.27153In717,,INSCRIPTIONES EPISTOLARUM SOCIETATIS IESU,1996,SPECIAL COLLECTION,
191,227.07In725,"Philip Yancey, noted",INSIGHT: The NIV New testament ,1978,BIBLICAL STUDIES,
179,261.83In784c.2,,"INSTRUCTION ON CERTAIN ASPECTS OF THE "" THEOLOGY OF LIBERATION""",1984,THEOLOGY,
326,261.8T634,,"INSTRUCTION ON CERTAIN ASPECTS OF THE ""THEOLOGY OF LIBERATION""",1984,Filipiniana,
178,261.83In784c.1,,"INSTRUCTION ON CERTAIN ASPECTS OF THE ""THEOLOGY OF LIBERATION""",1984,THEOLOGY,
98,261In784c.1,,INSTRUCTION ON CHRISTIAN FREEDOM AND LIBERATION ( Congregation for the Doctrine of the Faith),1986,THEOLOGY,
99,261In784c.2,,INSTRUCTION ON CHRISTIAN FREEDOM AND LIBERATION ( Congregation for the Doctrine of the Faith),1986,THEOLOGY,
219,255In784,,Instruction on Temporal Administration,1981,THEOLOGY,
383,265.1158D364,"Fr. Robert DeGrandis, S.S.J.",INTEGRATING HEALING IN THE PARISH COMMUNITY,1997,Filipiniana,
1,499.221M987Bh.3,Wilfredo A. Muyargas,INTENSIVE CEBUANO FOR EXPATRIATES ,1990,FILIPIANA (LIBRARY 2),
2,499.221M987Bh.2,Wilfredo A. Muyargas,INTENSIVE CEBUANO FOR EXPATRIATES ,1990,FILIPIANA (LIBRARY 2),
218,262.14In813c.1,BEC Service Office,Inter-BEC CONSULTATIONS,1988,Filipiniana,
219,262.14In813c.2,BEC Service Office,Inter-BEC CONSULTATIONS,1989,Filipiniana,
220,262.14In813c.3,BEC Service Office,Inter-BEC CONSULTATIONS,1989,Filipiniana,
83,221.61H237,"Daniel Harrington, S.J.",INTERPRESTING THE OLD TESTAMENT: A Practical Guide,1981,BIBLICAL STUDIES,
619,248.34K221,Thomas Keating ,INTIMACY WITH GOD,1994,Filipiniana,
707,253.5N856,Henri J.M. Nouwen,INTIMACY: Pastoral psychological essays,1969,SPIRITUALITY,
7,271.53C651,"AUGUSTO COEMANS, CARLO MARTINI, MARIO GIOIA",INTRODUCCION AL ESTUDIO DE LA FORMULA DEL INSTITUTO S. I.,1974,SPECIAL COLLECTION,
173,225.6H916,Archibald M. Hunter,INTRODUCING THE NEW TESTAMENT,1957,THEOLOGY,
895,248.4P745,"Raoul Plus, S.J.",INWARD PEACE,,SPIRITUALITY,
33,305.31B629,Robert Bly,IRON JOHN A BOOK ABOUT MEN,1990,REFERENCE (Library 2),
73,919Is49,,ISLES OF THE SOUTH PACIFIC,1968,GEN-REF2,
93,956.94Is72,,ISRAEL : English Edition,1993,GEN-REF2,
86, 248.22M489,"JAVIER MELLONI, S.J.",ITINERARIO JACIA UNA VIDA EN DIOS,2001,SPECIAL COLLECTION,
454,248.4Iw1,Daughters of Saint Paul,IWAG SA AKONG DALAN : mga butang nga angayng hibaloan sa mga katoliko uban ang Sakripisyo sa misa,1995,Filipiniana,
84,B789,Charlotte Bronte,JANE EYRE,1960-1982,FICTION,
208,230.2Ar699,Pedro Arrupe S.J.,JESUIT APOSTOLATE IN SECONDARY EDUCATION: TODAY AND TOMORROW,1980,SPIRITUALITY,
337,271.53Ar699,Pedro Arrupe S.J.,JESUIT APOSTOLATES TODAY : An Anthology of letters and Addresses lll,1981,SPIRITUALITY,
550,248.2J499,,JESUIT DIRECTIONS,1975,SPIRITUALITY,
151,248.3405 C333j,,JESUIT EDUCATION ITS SOURCE AND INSPIRATION: IGNATIAN SPIRITUALITY,1981,PERIODICAL,
157,271.53Ar699c.1,Father Pedro Arrupe S.J.,JESUIT GENERAL IN THE PHILIPPINES,1972,Filipiniana,
158,271.53Ar699c.2,Father Pedro Arrupe S.J.,JESUIT GENERAL IN THE PHILIPPINES,1972,Filipiniana,
159,271.53Ar699c.3,Father Pedro Arrupe S.J.,JESUIT GENERAL IN THE PHILIPPINES,2005,Filipiniana,
160,271.53Ar699c.4,Father Pedro Arrupe S.J.,JESUIT GENERAL IN THE PHILIPPINES,1972,Filipiniana,
24,266.25997J499v.1,"Jose S. Arcilla, S.J.",JESUIT MISSIONARY LETTERS FROM MINDANAO Vol. 1,1990,Filipiniana,
25,266.25997J499v.2,"Jose S. Arcilla, S.J.",JESUIT MISSIONARY LETTERS FROM MINDANAO Vol. 2,1993,Filipiniana,
39,264.02J499,,Jesuit Ordo Philippine Province 2013-2014,n.d.,Filipiniana,
502,282.092J499,,JESUIT PRIEST,,SPIRITUALITY,
181,255J499,,Jesuit Religious Life,1976,General Reference,
89,271.53J499,,"JESUIT RELIGIOUS LIFE : a summary of orientation and norms on our manner of life, personal and ..",1977,SPIRITUALITY,
137,271.53Se89,Smyth Sewn,JESUIT RELIGIOUS LIFE TODAY,1977,SPIRITUALITY,
7,266.2309J499,,JESUIT RETREAT AND RENEWAL MINISTRIES MEMBERSHIP DIRECTORY 1992-1993 UNITED STATES AND CANADA,1993,GEN-REF2,
219,271.53022T971c.1,"Joseph N. Tylenda, S.J.",JESUIT SAINTS & MARTYRS,1984,SPIRITUALITY,
220,271.53022T971c.2,"Joseph N. Tylenda, S.J.",JESUIT SAINTS & MARTYRS,1984,SPIRITUALITY,
153,248.3405 C333j,,JESUIT VOCATIONS TODAY RESULTS OF A WORLDWIDE SURVEY,1981,PERIODICAL,
221,271.53022T971c.3,"Joseph N. Tylenda, S.J.","JESUIT, SAINTS & MARTYRS",1984,SPIRITUALITY,
140,271.53J869,,JÉSUITES NOUBELLES DE LA PROVINCE DE FRANCE,2017,SPECIAL COLLECTION,
142,271.53J869,,JÉSUITES NOUBELLES DE LA PROVINCE DE FRANCE,2012,SPECIAL COLLECTION,
184,226.2C577,"Bishop Francisco Claver, S.J",JESUITS AND INTERNATIONAL MISSION : the basic ecclesial community ,1973,THEOLOGY,
79,248.3405 C333j,,JESUITS AND THE CHARISMATIC RENEWAL,1984,PERIODICAL,
737,248.4Ec41c.1,"Ignacio Echaniz, S.J.",JESUITS AT PRAYER,1996,SPIRITUALITY,
738,248.4Ec41c.2,"Ignacio Echaniz, S.J.",JESUITS AT PRAYER,1996,SPIRITUALITY,
739,248.4Ec41c.3,"Ignacio Echaniz, S.J.",JESUITS AT PRAYER,1996,SPIRITUALITY,
,248.4Ec41c.4 -6,"Ignacio Echaniz, S.J.",JESUITS AT PRAYER (number of copies 6),1996,SPIRITUALITY Library 2 (Duplicate copies),
224,,,"JESUITS EDUCATION : Its source and inspiration , Ignatian spirituality vol.12,no.38",1981,PERIODICAL,
93,282.09J499,Alfred A. Yuson,JESUITS IN MINDANAO : THE MISSION,2013,General Reference,
96,271.5J499,,JESUITS IN THE PHILIPPINES 1993-1996,1994,,
40,271.53L119,Jean Lacouture,Jesuits: A Multibiography,1995,General Reference,
133,248.4N856,Henri J.M. Nouwen,JESUS & MARY FINDING OUR SACRED CENTER,1993,SPIRITUALITY,
595,234.72P643,by A Pilgrim,"Jesus , can we talk ?",2018,Filipiniana,
33,232.901 M612,John W. Miller,JESUS AT THIRTY : a psychological and historical portrait,1997,THEOLOGY,
562,234.72P643,by a Pilgrim,JESUS CAN WE TALK?,2018,Filipiniana,
108,232G764,"Leonce de Grandmaison, S.J.",JESUS CHRIST,1961,THEOLOGY,
80,232.9P887,"Ferdinand Prat, S. J","JESUS CHRIST : HIS LIFE ,HIS TEACHING,AND HIS WORK VOLUME ||",1950,General Reference,
68,232 F391,"Jesus V. Fernandez, S.J.",JESUS CHRIST: YESTERDAY...TODAY... FOREVER,1997,THEOLOGY,
88,248.08 M891,Malcolm Muggeridge,JESUS REDISCOVERED,1969,THEOLOGY,
59,242 L961,Chiara Lubich,JESUS THE HEART OF HIS MESSAGE : unity and Jesus forsaken,1985,THEOLOGY,
159,232.9P367,"Donald E. Pelotte, S.S.S.",JOHN COURTNEY MURRAY: THEOLOGIAN IN CONFLICT,1976,THEOLOGY,
152,282.092N414,"Albert M. Nevett, S.J.",JOHN DE BRITTO AND HIS TIMES,1980,SPIRITUALITY,
98,252.55D370,Jesselyn Garcia De La Cruz,JOHN PAUL || : WE LOVE YOU,1995,General Reference,
98,282.092J613,,JOHN PAUL II WE LOVE YOU,1995,GEN-REF2,
74,M928,Russell Munson,JONATHAN LIVINGSTON SEAGUL A STORY,1970,FICTION,
38,264.34J826,editedby Edith Barnecut,JOURMEY WITH THE FATHERS : commentaries on the Sunday gospels Year C,1994,THEOLOGY,
698,282.092J613,Pope John,JOURNAL OF A SOUL,1965,SPIRITUALITY,
954,248.29L648j,Mark Link S.J.,JOURNEY : A meditation program based on the spiritual exercises of St. Ignatius,1988,SPIRITUALITY,
98,248.3B419,Fr. Ben Beltran,Journey Into Solitude : A MANUAL FOR RETREATS AND RECOLLECTIONS,n.d.,Filipiniana,
831,248J826,"Pierre Aubin, George Cotter",JOURNEY OF YEARNING JOY FOR GOD,1984,SPIRITUALITY,
15,282.092Ac47,"P.S de Achutegui, S.J",JOURNEY TO PUEBLA : The speeches of john paul II,1979,PAPAL COLLECTION,
521,242.2C233,Carlo Carretto,JOURNEY WITHOUT END,1989,SPIRITUALITY,
536,226.3G329v.6,MSGR. MARCEL GERVAIS,JOURNEY: EPISTLES AND REVELATION (VOLUME VI),1984,Filipiniana,
533,226.2G329v.4c.1,MSGR. MARCEL GERVAIS,"JOURNEY: MARK, LUKE, ACTS (VOLUME IV)",1984,Filipiniana,
534,226.2G329v.4c.2,MSGR. MARCEL GERVAIS,"JOURNEY: MARK, LUKE, ACTS (VOLUME IV)",1984,Filipiniana,
535,226.2G329v.5,MSGR. MARCEL GERVAIS,"JOURNEY: MARK, LUKE, ACTS (VOLUME IV)",1984,Filipiniana,
531,224.07G329v.2,MSGR. MARCEL GERVAIS,JOURNEY: PROPHETS (VOLUME II),1984,Filipiniana,
530,222.107G329v.1,MSGR. MARCEL GERVAIS,JOURNEY: TORAH (VOLUME I),1984,Filipiniana,
532,225G329v.3,MSGR. MARCEL GERVAIS,JOURNEY: WRITINGS (VOLUME III),1984,Filipiniana,
216,248.5L552,Peter Leonard,JOURNEYING with OTHERS,1989,Filipiniana,
564,242M366,,JOURNEYING WITH THE LORD,1997,Filipiniana,
238,262.099595J826,PAUL BERNIER ,JOURNEYING WITH THE SPIRIT :a commentary on PCP-II,1993,Filipiniana,
53,248.4Ev22,Louis Evely,JOY,1968,SPIRITUALITY,
97,282.1092J874,,JUBILAEUS 50 YEARS OF MARY THE QUEEN PARISH,,GEN-REF2,
8,K849,Nick Kotz,JUDGEMENT DAYS,2005,FICTION,
5,153.3J954,,JUNG ON ACTIVE IMAGINATION,1997,REFERENCE (Library 2),
733,979.4020924D413,Don DeNevi & Noel Francis Moholy,JUNIPERO SERRA,1985,SPIRITUALITY,
263,242Or18,"Fr. Jerry M. Orbos, SVD",Just a moment : 365 anecdotes and reflections I've shared through the years,2007,Filipiniana,
45,D373,John P. Delaney,JUST FOR FUN AND OTHER STORIES,1971,FICTION,
24,811.54R36,Helen Steiner Rice,JUST FOR YOU ,1968,REFERENCE (Library 2),
232,261.8Ar699,Pedro Arrupe,Justice in the World Synod of Bishops 2 : Witnessing to justice,1972,THEOLOGY,
234,261.8Al 282,Juan Alfaro,Justice in the world synod of Bishops 3 : theology of justice in the world,1973,THEOLOGY,
215,261.88 W210,Barbara Ward,Justice in the World Synod of Bishops 5 :  NEW CREATION? REFLECTIONS ON THE ENVIRONMENTAL ISSUE,1973,THEOLOGY,
412,224.6J984,,JUSTICE NOW!,1974,SPIRITUALITY,
252,261.8Ar699,Pedro Arrupe S.J.,Justice with Faith Today,1980,THEOLOGY,
86,264.2K836,,"KASAULOGAN sa mga PAGBASA, kon TINIEBLAS",n.d.,Filipiniana,
28,264K15a,,KASAULOGAN TUIG ABC,1998,Filipiniana,
30,264K15c,,KASAULOGAN TUIG B,1998,Filipiniana,
29,264K15b,,KASAULOGAN TUIG C,1998,Filipiniana,
268,238K156,,Katesismo sa mga Pagtulon-ang Kristohanon alang sa Arzobispado sa Cagayan De Oro ,1988,Filipiniana,
199,231.72W715,John Wimber,Kingdom Come: Understanding what the bible says about the reign of god,1989,BIBLICAL STUDIES,
3,K611,,KING'S PAWN,1990,FICTION,
256,266.20924P769,"Charles W. Polzer, S.J.",KINO GUIDE II: HIS MISSIONS - HIS MONUMENTS,1982,SPIRITUALITY,
841,231.4H338,Roger Hazelton,KNOWING THE LIVING GOD,1969,SPIRITUALITY,
44,Un27,Sigrid Undset,KRISTIN LAVRANSDATTER,1925-1953,FICTION,
158, 248.4M366,CARLO M. MARTINI,L' ITINERARIO SPIRITUALE DEI DODOCI,1980,SPECIAL COLLECTION,
76,248.4C46,"ADOLFO MARIA CHÉRCOLES, S.J.",LA AFECTIVIDAD Y LOS DESEOS,1995,SPECIAL COLLECTION,
291,"282.05C499,n.0118c.1",,"LA CIVILTÀ CATTOLICA 15 JANUARY 2018 MONTHLY YEAR 2 , no.0118 (c.1)",2017,PERIODICAL,
,"282.05C499,n.0118c.2-4",,"LA CIVILTÀ CATTOLICA 15 JANUARY 2018 MONTHLY YEAR 2 , no.0118 (number of copies 4)",2017,PERIODICAL LIB2 (Duplicate copies),
